21.07.2023                                                                                                                    Salida dinámica de lista                                                                                                                                                                          1

21.07.2023			                                                                                                                                    LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA																									  1

LISTADO DE PEDIDOS CON DATOS DE JERARQUÍA

		Fecha doc.		Solicitante	Cliente	Nº de cliente 1	Marca	Material	Número de material	  Unidades	UM	    ValorNeto	Nº pedido cliente	Doc.venta	ClVt	Solic.	OrgVt	CDis	OfVta	GVen	Organización de ventas	Mon.	Jquía.productos	Total Pedidos	Plataforma	Fe.PedCpas	Creado por
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084839	PLVO VITÚ CALEND. ESPE. TONO 1 MACAD.12G	        1	UN	       7,994	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084840	PLVO VITÚ CALEND. ESPE. TONO 2 AVELL.12G	        1	UN	       7,994	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0074055	RUBOR COLORFAST DUO MF ROMANTIC DREAMS	        1	UN	      20,504	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0074056	RUBOR COLORFAST DUO MF NATURAL BEAUTY	        1	UN	      20,504	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001002009	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0015866	PESTAÑINA FULL VOLUME LASH MAKER	        2	UN	      29,446	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Max Factor	PB0001134	PESTAÑINA LASH MAKER MF NEGRA	        2	UN	      29,446	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001005033001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0067958	VITU PESTAÑINA ACAÍ WP	        1	UN	      10,420	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001001001	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0037228	VITÚ BRILLO MANT KARITÉ 1 ARÁNDANO NI	        1	UN	       8,000	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003012	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0067965	LABIAL VITU VITAMINA E 8 CARMÍN	        1	UN	       4,639	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003010	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0088954	VITÚ BÁLSAMOS SÁBILA 4 FRAMBUESA 4G	        1	UN	       5,040	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001003	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0037198	VITU GEL CONTORNO OJOS	        1	UN	       9,342	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002173276	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0051819	JABÓN EXFOLIANTE VITU FRUTOS ROJOS	        1	UN	      13,101	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002075284	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0051815	MASCARILLA POMEGRANATE VITU SACHET X15 G	        1	UN	       4,637	0085782604	903156671	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002012	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0066853	REMOVEDOR VITU UÑAS 95ML	        1	UN	       7,059	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001004128	           1	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0085067	VITÚ GOTAS FACIALES CANNABIS 50ML	        1	UN	      14,444	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080002173	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0068845	VITU POLVO SABILA 1 MACAD U EMP NI	        1	UN	       6,654	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0068847	VITU POLVO SABILA 3 NUEZ U EMP NI	        1	UN	       6,654	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084839	PLVO VITÚ CALEND. ESPE. TONO 1 MACAD.12G	        1	UN	       7,994	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084840	PLVO VITÚ CALEND. ESPE. TONO 2 AVELL.12G	        1	UN	       7,994	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
		19.07.2023		ALMACENES EXITO SA	1000000000	ALMACENES EXITO SA	Vitú	PB0084862	VLVO VITÚ CALEND. ESPE. TONO 4 CASTA.12G	        1	UN	       7,994	0085782604	903156673	ZVMI	1000000000	1000	01	E001	G01	COMERCIAL	COP	001017080001002006	           0	ALMACENES EXITO SA	19.07.2023	JOBS
